YEAR ANTCO2 ANTCH4 ANTN2O ANTCO2EQ ABLCO2 ABLCH4 ABLN2O MACCO2 MACCH4 MACN2O ABCCO2 ABCCH4 ABCN2O CONCO2 CONCH4 CONN2O CONrOH RADCO2 RADCH4 RADN2O RADO3TRP RADHALO RADSF6 RADSO2 RADCRBAER RADAERIND RADTTL T2M pH OCNCO2UP LNDCO2UP DSCCUR ANTQ1M ANTQ2M ANTQ3M HCIO HCML HCAL
2000    8.3000    281.60    7.07   41.60    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   369.69  1752.10   317.04   1.0000   1.5408   0.4865   0.1556   0.3780   0.3323   0.0024  -0.4523  -0.1131  -0.9047   1.4615   0.7609   8.0818    1.704945    2.506254         1.00           23.192256            0.047882            3.322768            0.000000            0.000000            0.000000
2001    8.3700    285.20    7.17   42.02    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   371.87  1741.78   318.11   0.9973   1.5721   0.4826   0.1591   0.3738   0.3364   0.0024  -0.4433  -0.1142  -0.8927   1.5112   0.7902   8.0796    1.771008    1.954702         1.07           46.462346            0.097288            6.665174            0.987097            2.392923            0.085235
2002    8.4500    288.70    7.27   42.48    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   374.04  1734.52   319.20   0.9940   1.6033   0.4799   0.1625   0.3700   0.3405   0.0024  -0.4343  -0.1154  -0.8805   1.5622   0.8212   8.0775    1.802897    2.062785         1.14           46.618690            0.100392            6.704443            1.001584            2.427805            0.098156
2003    8.5200    292.20    7.37   42.90    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   376.19  1729.90   320.29   0.9914   1.6338   0.4781   0.1660   0.3674   0.3445   0.0025  -0.4253  -0.1165  -0.8682   1.6146   0.8532   8.0755    1.831783    2.182434         1.23           46.776402            0.103615            6.743690            1.026908            2.460135            0.103704
2004    8.6000    295.80    7.46   43.36    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   378.29  1727.69   321.40   0.9876   1.6636   0.4773   0.1695   0.3641   0.3484   0.0025  -0.4163  -0.1177  -0.8557   1.6657   0.8856   8.0735    1.858874    2.295603         1.31           46.935509            0.106965            6.782905            1.055376            2.486028            0.105133
2005    8.6700    299.20    7.56   43.77    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   380.37  1727.75   322.51   0.9829   1.6929   0.4773   0.1730   0.3612   0.3522   0.0026  -0.4065  -0.1189  -0.8421   1.7196   0.9185   8.0715    1.884883    2.394960         1.40           47.096040            0.110446            6.822075            1.085226            2.514363            0.107771
2006    8.7500    302.80    7.66   44.23    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   382.43  1729.90   323.64   0.9781   1.7217   0.4781   0.1765   0.3585   0.3559   0.0026  -0.3975  -0.1200  -0.8293   1.7726   0.9518   8.0695    1.910210    2.479103         1.50           47.258019            0.114063            6.861188            1.115818            2.547438            0.108664
2007    8.8200    306.20    7.76   44.65    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   384.48  1733.92   324.77   0.9730   1.7502   0.4797   0.1801   0.3559   0.3596   0.0026  -0.3885  -0.1212  -0.8163   1.8260   0.9854   8.0676    1.935070    2.549284         1.61           47.421466            0.117824            6.900232            1.146120            2.573824            0.109663
2008    8.9000    309.80    7.86   45.11    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   386.52  1739.67   325.92   0.9675   1.7785   0.4818   0.1837   0.3537   0.3631   0.0026  -0.3795  -0.1224  -0.8032   1.8802   1.0194   8.0657    1.959437    2.607501         1.72           47.586400            0.121737            6.939193            1.176535            2.603104            0.111051
2009    8.9600    313.30    7.95   45.49    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   388.56  1746.98   327.08   0.9621   1.8066   0.4846   0.1873   0.3515   0.3666   0.0026  -0.3704  -0.1235  -0.7899   1.9350   1.0538   8.0638    1.983198    2.655903         1.84           47.752838            0.125810            6.978057            1.207118            2.634976            0.112331
2010    9.0300    316.80    8.05   45.91    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   390.60  1755.69   328.24   0.9564   1.8345   0.4878   0.1910   0.3495   0.3699   0.0027  -0.3614  -0.1247  -0.7765   1.9904   1.0886   8.0619    2.009442    2.697408         1.97           47.920794            0.130052            7.016808            1.237818            2.667691            0.113689
2011    9.2800    323.20    8.19   47.09    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   392.68  1766.18   329.42   0.9505   1.8628   0.4917   0.1946   0.3505   0.3729   0.0027  -0.3532  -0.1270  -0.7640   2.0467   1.1239   8.0600    2.041696    2.736541         2.10           48.090272            0.134473            7.055430            1.268770            2.702977            0.115021
2012    9.5400    329.50    8.32   48.29    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   394.85  1778.86   330.62   0.9435   1.8922   0.4965   0.1984   0.3514   0.3752   0.0027  -0.3456  -0.1294  -0.7525   2.1022   1.1595   8.0580    2.077890    2.777123         2.25           48.261249            0.139080            7.093908            1.299515            2.734392            0.115562
2013    9.7900    335.90    8.45   49.47    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   397.10  1793.58   331.83   0.9366   1.9225   0.5019   0.2021   0.3523   0.3768   0.0027  -0.3381  -0.1315  -0.7409   2.1592   1.1955   8.0559    2.115295    2.820043         2.41           48.433689            0.143883            7.132224            1.330191            2.765107            0.117206
2014   10.0400    342.30    8.59   50.65    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   399.42  1810.06   333.06   0.9305   1.9537   0.5080   0.2059   0.3545   0.3777   0.0027  -0.3306  -0.1340  -0.7291   2.2183   1.2321   8.0538    2.153745    2.864881         2.58           48.607558            0.148902            7.170360            1.361799            2.807375            0.119515
2015   10.2900    348.60    8.72   51.82    0.00    0.00    0.00           0.00           0.00           0.00           0.00           0.00           0.00   401.83  1828.14   334.31   0.9232   1.9858   0.5147   0.2098   0.3558   0.3781   0.0027  -0.3231  -0.1363  -0.7172   2.2778   1.2693   8.0516    2.193088    2.911379         2.76           48.782817            0.154151            7.208297            1.394145            2.853629            0.121228
