2000  369.838 1752.231 317.083   1.000  77.200   3.170   0.000  15.500   0.000   0.000   1.400  13.800   0.000    1.700   0.000   0.000   0.000 262.600 540.500  81.700  16.400   9.000  97.900  49.900   3.970   2.820   0.410 141.600  10.800  10.500   0.000 536.000   8.100 2854.184   4.530  34.000
2001  371.494 1741.906 317.956   0.997  78.195   3.170   0.000  15.443   0.000   0.000   1.353  21.168   0.000    0.806   0.000   0.000   0.000 260.835 543.705  82.160  16.418   9.075  95.042  40.837   3.992   2.880   0.401 153.193  12.712  12.702   0.440 544.516   8.231 2819.354   4.622  33.901
2002  373.212 1734.643 318.847   0.994  79.156   3.169   0.000  15.386   0.000   0.000   1.307  29.369   0.000    0.383   0.000   0.000   0.000 259.005 546.646  82.519  16.430   9.143  92.203  33.441   3.999   2.938   0.392 164.298  14.357  14.777   0.737 549.216   8.273 2788.664   4.707  33.810
2003  374.997 1730.030 319.754   0.991  80.083   3.169   0.000  15.329   0.000   0.000   1.263  38.349   0.000    0.182   0.000   0.000   0.000 257.111 549.325  82.779  16.436   9.201  89.384  27.400   3.991   2.994   0.382 174.956  15.763  16.732   0.971 552.209   8.300 2761.040   4.783  33.748
2004  376.906 1727.809 320.677   0.988  80.976   3.169   0.000  15.273   0.000   0.000   1.221  48.059   0.000    0.087   0.000   0.000   0.000 255.155 551.745  82.940  16.437   9.252  86.583  22.465   3.970   3.047   0.372 185.213  16.956  18.574   1.178 554.542   8.327 2746.677   4.852  33.669
2005  378.959 1727.867 321.619   0.983  81.836   3.168   0.000  15.218   0.000   0.000   1.180  58.458   0.000    0.042   0.000   0.000   0.000 253.138 553.910  83.004  16.431   9.294  83.800  18.435   3.935   3.098   0.361 195.122  17.960  20.312   1.375 556.908   8.362 2728.588   4.913  33.600
2006  381.109 1730.017 322.582   0.978  82.662   3.168   0.000  15.163   0.000   0.000   1.141  69.506   0.000    0.020   0.000   0.000   0.000 251.062 555.820  82.972  16.420   9.328  81.033  15.142   3.889   3.147   0.350 204.725  18.797  21.952   1.567 559.450   8.401 2710.506   4.966  33.535
2007  383.338 1734.040 323.527   0.973  83.454   3.168   0.000  15.108   0.000   0.000   1.103  81.169   0.000    0.010   0.000   0.000   0.000 248.927 557.480  82.846  16.403   9.354  78.284  12.449   3.830   3.193   0.338 214.056  19.483  23.501   1.760 562.141   8.443 2693.190   5.011  33.475
2008  385.521 1739.781 324.438   0.968  84.212   3.167   0.000  15.054   0.000   0.000   1.067  93.414   0.000    0.005   0.000   0.000   0.000 246.736 558.890  82.625  16.380   9.371  75.549  10.247   3.761   3.238   0.325 223.149  20.035  24.964   1.954 565.025   8.488 2677.015   5.048  33.421
2009  387.610 1747.096 325.353   0.962  84.937   3.167   0.000  15.000   0.000   0.000   1.032 106.213   0.000    0.002   0.000   0.000   0.000 244.489 560.055  82.312  16.351   9.381  72.831   8.443   3.683   3.280   0.312 232.035  20.468  26.348   2.151 568.081   8.535 2661.630   5.077  33.369
2010  389.780 1755.802 326.267   0.956  85.627   3.167   0.000  14.947   0.000   0.000   0.998 119.540   0.000    0.001   0.000   0.000   0.000 242.187 560.975  81.907  16.316   9.382  70.126   6.965   3.594   3.320   0.299 240.738  20.793  27.657   2.349 571.257   8.584 2646.623   5.099  33.321
2011  392.107 1766.287 327.166   0.951  86.298   3.167   0.000  14.894   0.000   0.000   0.966 133.233   0.000    0.001   0.000   0.000   0.000 239.792 561.470  81.433  16.277   9.378  67.480   5.752   3.500   3.357   0.286 248.193  20.985  28.809   2.493 574.585   8.636 2631.840   5.116  33.345
2012  394.511 1778.967 328.060   0.943  86.963   3.166   0.000  14.842   0.000   0.000   0.935 147.150   0.000    0.000   0.000   0.000   0.000 237.265 561.358  80.914  16.238   9.375  64.934   4.756   3.402   3.390   0.273 253.422  21.021  29.728   2.558 578.230   8.693 2617.072   5.134  33.367
