year,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534-over,ssp585
1814,15.6752,15.6752,15.6752,15.6752,15.6752,15.6743,15.6752,15.6752
1815,16.8135,16.8135,16.8135,16.8135,16.8135,16.8146,16.8135,16.8135
1816,16.7706,16.7706,16.7706,16.7706,16.7706,16.77,16.7706,16.7706
1817,15.9991,15.9991,15.9991,15.9991,15.9991,15.9992,15.9991,15.9991
1818,16.9632,16.9632,16.9632,16.9632,16.9632,16.9631,16.9632,16.9632
1819,17.137,17.137,17.137,17.137,17.137,17.1371,17.137,17.137
1820,17.3201,17.3201,17.3201,17.3201,17.3201,17.3201,17.3201,17.3201
1821,17.7498,17.7498,17.7498,17.7498,17.7498,17.7498,17.7498,17.7498
1822,17.8801,17.8801,17.8801,17.8801,17.8801,17.88,17.8801,17.8801
1823,18.4891,18.4891,18.4891,18.4891,18.4891,18.4892,18.4891,18.4891
1824,18.9655,18.9655,18.9655,18.9655,18.9655,18.9655,18.9655,18.9655
1825,18.8664,18.8664,18.8664,18.8664,18.8664,18.8664,18.8664,18.8664
1826,19.2618,19.2618,19.2618,19.2618,19.2618,19.2619,19.2618,19.2618
1827,19.5398,19.5398,19.5398,19.5398,19.5398,19.5398,19.5398,19.5398
1828,19.1496,19.1496,19.1496,19.1496,19.1496,19.1496,19.1496,19.1496
1829,20.077,20.077,20.077,20.077,20.077,20.077,20.077,20.077
1830,20.0122,20.0122,20.0122,20.0122,20.0122,20.0122,20.0122,20.0122
1831,20.3445,20.3445,20.3445,20.3445,20.3445,20.3448,20.3445,20.3445
1832,21.1773,21.1773,21.1773,21.1773,21.1773,21.1767,21.1773,21.1773
1833,21.1845,21.1845,21.1845,21.1845,21.1845,21.1851,21.1845,21.1845
1834,20.8883,20.8883,20.8883,20.8883,20.8883,20.8877,20.8883,20.8883
1835,21.7597,21.7597,21.7597,21.7597,21.7597,21.7599,21.7597,21.7597
1836,21.7845,21.7845,21.7845,21.7845,21.7845,21.7847,21.7845,21.7845
1837,22.1836,22.1836,22.1836,22.1836,22.1836,22.1835,22.1836,22.1836
1838,22.2608,22.2608,22.2608,22.2608,22.2608,22.261,22.2608,22.2608
1839,22.1914,22.1914,22.1914,22.1914,22.1914,22.1913,22.1914,22.1914
1840,23.366,23.366,23.366,23.366,23.366,23.366,23.366,23.366
1841,23.7193,23.7193,23.7193,23.7193,23.7193,23.7193,23.7193,23.7193
1842,24.2442,24.2442,24.2442,24.2442,24.2442,24.2442,24.2442,24.2442
1843,25.2392,25.2392,25.2392,25.2392,25.2392,25.2392,25.2392,25.2392
1844,24.8364,24.8364,24.8364,24.8364,24.8364,24.8364,24.8364,24.8364
1845,25.9087,25.9087,25.9087,25.9087,25.9087,25.9087,25.9087,25.9087
1846,25.1215,25.1215,25.1215,25.1215,25.1215,25.1215,25.1215,25.1215
1847,27.011,27.011,27.011,27.011,27.011,27.0111,27.011,27.011
1848,24.9074,24.9074,24.9074,24.9074,24.9074,24.9074,24.9074,24.9074
1849,28.4821,28.4821,28.4821,28.4821,28.4821,28.4822,28.4821,28.4821
1850,23.5875,23.5875,23.5875,23.5875,23.5875,23.5875,23.5875,23.5875
1851,27.9533,27.9533,27.9533,27.9533,27.9533,27.9533,27.9533,27.9533
1852,29.8755,29.8755,29.8755,29.8755,29.8755,29.8756,29.8755,29.8755
1853,27.0757,27.0757,27.0757,27.0757,27.0757,27.0757,27.0757,27.0757
1854,32.7518,32.7518,32.7518,32.7518,32.7518,32.7518,32.7518,32.7518
1855,23.972,23.972,23.972,23.972,23.972,23.9721,23.972,23.972
1856,33.7257,33.7257,33.7257,33.7257,33.7257,33.7255,33.7257,33.7257
1857,28.3189,28.3189,28.3189,28.3189,28.3189,28.3191,28.3189,28.3189
1858,32.0558,32.0558,32.0558,32.0558,32.0558,32.0556,32.0558,32.0558
1859,30.6624,30.6624,30.6624,30.6624,30.6624,30.6625,30.6624,30.6624
1860,31.6946,31.6946,31.6946,31.6946,31.6946,31.6946,31.6946,31.6946
1861,32.6818,32.6818,32.6818,32.6818,32.6818,32.6817,32.6818,32.6818
1862,31.6059,31.6059,31.6059,31.6059,31.6059,31.606,31.6059,31.6059
1863,35.3998,35.3998,35.3998,35.3998,35.3998,35.3997,35.3998,35.3998
1864,30.5103,30.5103,30.5103,30.5103,30.5103,30.5104,30.5103,30.5103
1865,39.4615,39.4615,39.4615,39.4615,39.4615,39.4614,39.4615,39.4615
1866,31.8809,31.8809,31.8809,31.8809,31.8809,31.881,31.8809,31.8809
1867,35.861,35.861,35.861,35.861,35.861,35.861,35.861,35.861
1868,35.7838,35.7838,35.7838,35.7838,35.7838,35.7838,35.7838,35.7838
1869,33.173,33.173,33.173,33.173,33.173,33.173,33.173,33.173
1870,40.9861,40.9861,40.9861,40.9861,40.9861,40.9861,40.9861,40.9861
1871,34.5116,34.5116,34.5116,34.5116,34.5116,34.5116,34.5116,34.5116
1872,38.4558,38.4558,38.4558,38.4558,38.4558,38.4559,38.4558,38.4558
1873,38.6487,38.6487,38.6487,38.6487,38.6487,38.6486,38.6487,38.6487
1874,35.3148,35.3148,35.3148,35.3148,35.3148,35.3148,35.3148,35.3148
1875,43.9377,43.9377,43.9377,43.9377,43.9377,43.9377,43.9377,43.9377
1876,36.5945,36.5945,36.5945,36.5945,36.5945,36.5945,36.5945,36.5945
1877,40.8485,40.8485,40.8485,40.8485,40.8485,40.8485,40.8485,40.8485
1878,40.2297,40.2297,40.2297,40.2297,40.2297,40.2298,40.2297,40.2297
1879,38.6641,38.6641,38.6641,38.6641,38.6641,38.6641,38.6641,38.6641
1880,44.2937,44.2937,44.2937,44.2937,44.2937,44.2937,44.2937,44.2937
1881,41.5483,41.5483,41.5483,41.5483,41.5483,41.5483,41.5483,41.5483
1882,44.8938,44.8938,44.8938,44.8938,44.8938,44.8938,44.8938,44.8938
1883,44.9468,44.9468,44.9468,44.9468,44.9468,44.9468,44.9468,44.9468
1884,43.8992,43.8992,43.8992,43.8992,43.8992,43.8992,43.8992,43.8992
1885,43.239,43.239,43.239,43.239,43.239,43.239,43.239,43.239
1886,45.5807,45.5807,45.5807,45.5807,45.5807,45.5808,45.5807,45.5807
1887,46.5088,46.5088,46.5088,46.5088,46.5088,46.5088,46.5088,46.5088
1888,46.5903,46.5903,46.5903,46.5903,46.5903,46.5904,46.5903,46.5903
1889,47.4585,47.4585,47.4585,47.4585,47.4585,47.4584,47.4585,47.4585
1890,46.3713,46.3713,46.3713,46.3713,46.3713,46.3714,46.3713,46.3713
1891,52.2252,52.2252,52.2252,52.2252,52.2252,52.2252,52.2252,52.2252
1892,51.3978,51.3978,51.3978,51.3978,51.3978,51.3978,51.3978,51.3978
1893,49.9357,49.9357,49.9357,49.9357,49.9357,49.9357,49.9357,49.9357
1894,50.5033,50.5033,50.5033,50.5033,50.5033,50.5033,50.5033,50.5033
1895,52.3954,52.3954,52.3954,52.3954,52.3954,52.3954,52.3954,52.3954
1896,56.5663,56.5663,56.5663,56.5663,56.5663,56.5663,56.5663,56.5663
1897,49.1614,49.1614,49.1614,49.1614,49.1614,49.1614,49.1614,49.1614
1898,58.0245,58.0245,58.0245,58.0245,58.0245,58.0245,58.0245,58.0245
1899,54.4224,54.4224,54.4224,54.4224,54.4224,54.4224,54.4224,54.4224
1900,56.2185,56.2185,56.2185,56.2185,56.2185,56.2185,56.2185,56.2185
1901,65.233,65.233,65.233,65.233,65.233,65.233,65.233,65.233
1902,60.5713,60.5713,60.5713,60.5713,60.5713,60.5713,60.5713,60.5713
1903,66.9258,66.9258,66.9258,66.9258,66.9258,66.9258,66.9258,66.9258
1904,65.1944,65.1944,65.1944,65.1944,65.1944,65.1944,65.1944,65.1944
1905,72.2292,72.2292,72.2292,72.2292,72.2292,72.2293,72.2292,72.2292
1906,68.0295,68.0295,68.0295,68.0295,68.0295,68.0294,68.0295,68.0295
1907,71.2806,71.2806,71.2806,71.2806,71.2806,71.2807,71.2806,71.2806
1908,73.5465,73.5465,73.5465,73.5465,73.5465,73.5464,73.5465,73.5465
1909,76.8577,76.8577,76.8577,76.8577,76.8577,76.8578,76.8577,76.8577
1910,73.6995,73.6995,73.6995,73.6995,73.6995,73.6995,73.6995,73.6995
1911,77.3347,77.3347,77.3347,77.3347,77.3347,77.3348,77.3347,77.3347
1912,79.3509,79.3509,79.3509,79.3509,79.3509,79.3508,79.3509,79.3509
1913,83.8329,83.8329,83.8329,83.8329,83.8329,83.833,83.8329,83.8329
1914,83.7732,83.7732,83.7732,83.7732,83.7732,83.7732,83.7732,83.7732
1915,85.4278,85.4278,85.4278,85.4278,85.4278,85.4278,85.4278,85.4278
1916,89.3032,89.3032,89.3032,89.3032,89.3032,89.3032,89.3032,89.3032
1917,87.2642,87.2642,87.2642,87.2642,87.2642,87.2642,87.2642,87.2642
1918,94.8712,94.8712,94.8712,94.8712,94.8712,94.8712,94.8712,94.8712
1919,93.374,93.374,93.374,93.374,93.374,93.374,93.374,93.374
1920,95.915,95.915,95.915,95.915,95.915,95.915,95.915,95.915
1921,93.9591,93.9591,93.9591,93.9591,93.9591,93.9592,93.9591,93.9591
1922,103.37,103.37,103.37,103.37,103.37,103.37,103.37,103.37
1923,98.6295,98.6295,98.6295,98.6295,98.6295,98.6296,98.6295,98.6295
