,T60_ch4,T60_GWP100,T60_GWP20,T60_CGTP,T60_GTP100,T60_GWPstar,T26_ch4,T26_GWP100,T26_GWP20,T26_CGTP,T26_GTP100,T26_GWPstar,T19_ch4,T19_GWP100,T19_GWP20,T19_CGTP,T19_GTP100,T19_GWPstar,T34_ch4,T34_GWP100,T34_GWP20,T34_CGTP,T34_GTP100,T34_GWPstar,T85_ch4,T85_GWP100,T85_GWP20,T85_CGTP,T85_GTP100,T85_GWPstar,T34o_ch4,T34o_GWP100,T34o_GWP20,T34o_CGTP,T34o_GTP100,T34o_GWPstar
0,0.0,0.00024727534899247205,0.000719471053528495,0.0293612710892343,6.252546060426206e-05,,0.0,0.00024727534899247205,0.000719471053528495,0.0293612710892343,6.252546060426206e-05,,0.0,0.00024727534899247205,0.000719471053528495,0.0293612710892343,6.252546060426206e-05,,0.0,0.00024727534899247205,0.000719471053528495,0.0293612710892343,6.252546060426206e-05,,0.0,0.00024727534899247205,0.000719471053528495,0.0293612710892343,6.252546060426206e-05,,0.0,0.00024727534899247205,0.000719471053528495,0.0293612710892343,6.252546060426206e-05,
1,0.0007746499713929579,0.0004931898327734818,0.0014349825408026488,0.029199683075902365,0.00012470681604594448,,0.0007746499713929579,0.0004931898327734818,0.0014349825408026488,0.029199683075902365,0.00012470681604594448,,0.0007746499713929579,0.0004931898327734818,0.0014349825408026488,0.029199683075902365,0.00012470681604594448,,0.0007746499713929579,0.0004931898327734818,0.0014349825408026488,0.029199683075902365,0.00012470681604594448,,0.0007746499713929579,0.0004931898327734818,0.0014349825408026488,0.029199683075902365,0.00012470681604594448,,0.0007746499713929579,0.0004931898327734818,0.0014349825408026488,0.029199683075902365,0.00012470681604594448,
2,0.0020453097604304256,0.0007387741305396204,0.002149533320586357,0.029160477060697035,0.00018680468143190957,,0.0020453097604304256,0.0007387741305396204,0.002149533320586357,0.029160477060697035,0.00018680468143190957,,0.0020453097604304256,0.0007387741305396204,0.002149533320586357,0.029160477060697035,0.00018680468143190957,,0.0020453097604304256,0.0007387741305396204,0.002149533320586357,0.029160477060697035,0.00018680468143190957,,0.0020453097604304256,0.0007387741305396204,0.002149533320586357,0.029160477060697035,0.00018680468143190957,,0.0020453097604304256,0.0007387741305396204,0.002149533320586357,0.029160477060697035,0.00018680468143190957,
3,0.0036203133525574503,0.000987370300052582,0.002872847426547173,0.02951810422897236,0.00024966412159279,,0.0036203133525574503,0.000987370300052582,0.002872847426547173,0.02951810422897236,0.00024966412159279,,0.0036203133525574503,0.000987370300052582,0.002872847426547173,0.02951810422897236,0.00024966412159279,,0.0036203133525574503,0.000987370300052582,0.002872847426547173,0.02951810422897236,0.00024966412159279,,0.0036203133525574503,0.000987370300052582,0.002872847426547173,0.02951810422897236,0.00024966412159279,,0.0036203133525574503,0.000987370300052582,0.002872847426547173,0.02951810422897236,0.00024966412159279,
4,0.005372367428585757,0.0012410067297366865,0.003610826646965073,0.030116580566578108,0.00031379803003386944,,0.005372367428585757,0.0012410067297366865,0.003610826646965073,0.030116580566578108,0.00031379803003386944,,0.005372367428585757,0.0012410067297366865,0.003610826646965073,0.030116580566578108,0.00031379803003386944,,0.005372367428585757,0.0012410067297366865,0.003610826646965073,0.030116580566578108,0.00031379803003386944,,0.005372367428585757,0.0012410067297366865,0.003610826646965073,0.030116580566578108,0.00031379803003386944,,0.005372367428585757,0.0012410067297366865,0.003610826646965073,0.030116580566578108,0.00031379803003386944,
5,0.007206827997478989,0.001494531271487715,0.004348480318841983,0.030103295085643446,0.0003779036467565057,,0.007206827997478989,0.001494531271487715,0.004348480318841983,0.030103295085643446,0.0003779036467565057,,0.007206827997478989,0.001494531271487715,0.004348480318841983,0.030103295085643446,0.0003779036467565057,,0.007206827997478989,0.001494531271487715,0.004348480318841983,0.030103295085643446,0.0003779036467565057,,0.007206827997478989,0.001494531271487715,0.004348480318841983,0.030103295085643446,0.0003779036467565057,,0.007206827997478989,0.001494531271487715,0.004348480318841983,0.030103295085643446,0.0003779036467565057,
6,0.009049098893960253,0.001747562838682183,0.005084699634544626,0.030044759693198315,0.0004418846110973306,,0.009049098893960253,0.001747562838682183,0.005084699634544626,0.030044759693198315,0.0004418846110973306,,0.009049098893960253,0.001747562838682183,0.005084699634544626,0.030044759693198315,0.0004418846110973306,,0.009049098893960253,0.001747562838682183,0.005084699634544626,0.030044759693198315,0.0004418846110973306,,0.009049098893960253,0.001747562838682183,0.005084699634544626,0.030044759693198315,0.0004418846110973306,,0.009049098893960253,0.001747562838682183,0.005084699634544626,0.030044759693198315,0.0004418846110973306,
7,0.010861698510049925,0.0020078879946065385,0.005842140337615146,0.030910794406258803,0.0005077098150546496,,0.010861698510049925,0.0020078879946065385,0.005842140337615146,0.030910794406258803,0.0005077098150546496,,0.010861698510049925,0.0020078879946065385,0.005842140337615146,0.030910794406258803,0.0005077098150546496,,0.010861698510049925,0.0020078879946065385,0.005842140337615146,0.030910794406258803,0.0005077098150546496,,0.010861698510049925,0.0020078879946065385,0.005842140337615146,0.030910794406258803,0.0005077098150546496,,0.010861698510049925,0.0020078879946065385,0.005842140337615146,0.030910794406258803,0.0005077098150546496,
8,0.012619349142732992,0.0022670491056486874,0.006596194141825068,0.030772576676566868,0.0005732406813728928,,0.012619349142732992,0.0022670491056486874,0.006596194141825068,0.030772576676566868,0.0005732406813728928,,0.012619349142732992,0.0022670491056486874,0.006596194141825068,0.030772576676566868,0.0005732406813728928,,0.012619349142732992,0.0022670491056486874,0.006596194141825068,0.030772576676566868,0.0005732406813728928,,0.012619349142732992,0.0022670491056486874,0.006596194141825068,0.030772576676566868,0.0005732406813728928,,0.012619349142732992,0.0022670491056486874,0.006596194141825068,0.030772576676566868,0.0005732406813728928,
9,0.01430022928198011,0.002528907406366885,0.007358095674915771,0.03109283875517771,0.0006394535527010134,,0.01430022928198011,0.002528907406366885,0.007358095674915771,0.03109283875517771,0.0006394535527010134,,0.01430022928198011,0.002528907406366885,0.007358095674915771,0.03109283875517771,0.0006394535527010134,,0.01430022928198011,0.002528907406366885,0.007358095674915771,0.03109283875517771,0.0006394535527010134,,0.01430022928198011,0.002528907406366885,0.007358095674915771,0.03109283875517771,0.0006394535527010134,,0.01430022928198011,0.002528907406366885,0.007358095674915771,0.03109283875517771,0.0006394535527010134,
10,0.015900049583042246,0.002794345272190262,0.008130412291790163,0.03151787336482635,0.0007065715444055736,,0.015900049583042246,0.002794345272190262,0.008130412291790163,0.03151787336482635,0.0007065715444055736,,0.015900049583042246,0.002794345272190262,0.008130412291790163,0.03151787336482635,0.0007065715444055736,,0.015900049583042246,0.002794345272190262,0.008130412291790163,0.03151787336482635,0.0007065715444055736,,0.015900049583042246,0.002794345272190262,0.008130412291790163,0.03151787336482635,0.0007065715444055736,,0.015900049583042246,0.002794345272190262,0.008130412291790163,0.03151787336482635,0.0007065715444055736,
11,0.017409943459681998,0.003060292684770729,0.008904211483226229,0.031578376526700445,0.0007738183788994223,,0.017409943459681998,0.003060292684770729,0.008904211483226229,0.031578376526700445,0.0007738183788994223,,0.017409943459681998,0.003060292684770729,0.008904211483226229,0.031578376526700445,0.0007738183788994223,,0.017409943459681998,0.003060292684770729,0.008904211483226229,0.031578376526700445,0.0007738183788994223,,0.017409943459681998,0.003060292684770729,0.008904211483226229,0.031578376526700445,0.0007738183788994223,,0.017409943459681998,0.003060292684770729,0.008904211483226229,0.031578376526700445,0.0007738183788994223,
12,0.01882206034588879,0.0033261841570098546,0.009677847910939652,0.03157173421668592,0.0008410510684507078,,0.01882206034588879,0.0033261841570098546,0.009677847910939652,0.03157173421668592,0.0008410510684507078,,0.01882206034588879,0.0033261841570098546,0.009677847910939652,0.03157173421668592,0.0008410510684507078,,0.01882206034588879,0.0033261841570098546,0.009677847910939652,0.03157173421668592,0.0008410510684507078,,0.01882206034588879,0.0033261841570098546,0.009677847910939652,0.03157173421668592,0.0008410510684507078,,0.01882206034588879,0.0033261841570098546,0.009677847910939652,0.03157173421668592,0.0008410510684507078,
13,0.020134222243899005,0.0035932911139691342,0.010455020906595334,0.031716059870329466,0.0009085911025969754,,0.020134222243899005,0.0035932911139691342,0.010455020906595334,0.031716059870329466,0.0009085911025969754,,0.020134222243899005,0.0035932911139691342,0.010455020906595334,0.031716059870329466,0.0009085911025969754,,0.020134222243899005,0.0035932911139691342,0.010455020906595334,0.031716059870329466,0.0009085911025969754,,0.020134222243899005,0.0035932911139691342,0.010455020906595334,0.031716059870329466,0.0009085911025969754,,0.020134222243899005,0.0035932911139691342,0.010455020906595334,0.031716059870329466,0.0009085911025969754,
14,0.021342690005463537,0.0038567023917433505,0.011221440973551832,0.03127723797055808,0.0009751966560348615,,0.021342690005463537,0.0038567023917433505,0.011221440973551832,0.03127723797055808,0.0009751966560348615,,0.021342690005463537,0.0038567023917433505,0.011221440973551832,0.03127723797055808,0.0009751966560348615,,0.021342690005463537,0.0038567023917433505,0.011221440973551832,0.03127723797055808,0.0009751966560348615,,0.021342690005463537,0.0038567023917433505,0.011221440973551832,0.03127723797055808,0.0009751966560348615,,0.021342690005463537,0.0038567023917433505,0.011221440973551832,0.03127723797055808,0.0009751966560348615,
15,0.02245978431832958,0.0041286713895356325,0.012012760537616666,0.03229337459064576,0.001043966094340496,,0.02245978431832958,0.0041286713895356325,0.012012760537616666,0.03229337459064576,0.001043966094340496,,0.02245978431832958,0.0041286713895356325,0.012012760537616666,0.03229337459064576,0.001043966094340496,,0.02245978431832958,0.0041286713895356325,0.012012760537616666,0.03229337459064576,0.001043966094340496,,0.02245978431832958,0.0041286713895356325,0.012012760537616666,0.03229337459064576,0.001043966094340496,,0.02245978431832958,0.0041286713895356325,0.012012760537616666,0.03229337459064576,0.001043966094340496,
16,0.02350073464236047,0.004399788004432628,0.01280160001289715,0.032192163348351226,0.0011125200011208238,,0.02350073464236047,0.004399788004432628,0.01280160001289715,0.032192163348351226,0.0011125200011208238,,0.02350073464236047,0.004399788004432628,0.01280160001289715,0.032192163348351226,0.0011125200011208238,,0.02350073464236047,0.004399788004432628,0.01280160001289715,0.032192163348351226,0.0011125200011208238,,0.02350073464236047,0.004399788004432628,0.01280160001289715,0.032192163348351226,0.0011125200011208238,,0.02350073464236047,0.004399788004432628,0.01280160001289715,0.032192163348351226,0.0011125200011208238,
17,0.02446654819113286,0.004672797396616069,0.013595946703004841,0.032416910162966245,0.0011815525110944686,,0.02446654819113286,0.004672797396616069,0.013595946703004841,0.032416910162966245,0.0011815525110944686,,0.02446654819113286,0.004672797396616069,0.013595946703004841,0.032416910162966245,0.0011815525110944686,,0.02446654819113286,0.004672797396616069,0.013595946703004841,0.032416910162966245,0.0011815525110944686,,0.02446654819113286,0.004672797396616069,0.013595946703004841,0.032416910162966245,0.0011815525110944686,,0.02446654819113286,0.004672797396616069,0.013595946703004841,0.032416910162966245,0.0011815525110944686,
18,0.02537717381879453,0.0049543909640706145,0.01441526986428582,0.03343618805799032,0.0012527555953486486,,0.02537717381879453,0.0049543909640706145,0.01441526986428582,0.03343618805799032,0.0012527555953486486,,0.02537717381879453,0.0049543909640706145,0.01441526986428582,0.03343618805799032,0.0012527555953486486,,0.02537717381879453,0.0049543909640706145,0.01441526986428582,0.03343618805799032,0.0012527555953486486,,0.02537717381879453,0.0049543909640706145,0.01441526986428582,0.03343618805799032,0.0012527555953486486,,0.02537717381879453,0.0049543909640706145,0.01441526986428582,0.03343618805799032,0.0012527555953486486,
19,0.026239170915497125,0.005233863857788169,0.015228422724426953,0.03318438100671204,0.00132342245105139,,0.026239170915497125,0.005233863857788169,0.015228422724426953,0.03318438100671204,0.00132342245105139,,0.026239170915497125,0.005233863857788169,0.015228422724426953,0.03318438100671204,0.00132342245105139,,0.026239170915497125,0.005233863857788169,0.015228422724426953,0.03318438100671204,0.00132342245105139,,0.026239170915497125,0.005233863857788169,0.015228422724426953,0.03318438100671204,0.00132342245105139,,0.026239170915497125,0.005233863857788169,0.015228422724426953,0.03318438100671204,0.00132342245105139,
20,0.027047181125939592,0.005515131692273062,0.01604679813477441,0.03339751079370341,0.0013945431712363476,0.0011176845774459735,0.027047181125939592,0.005515131692273062,0.01604679813477441,0.03339751079370341,0.0013945431712363476,0.0011176845774459735,0.027047181125939592,0.005515131692273062,0.01604679813477441,0.03339751079370341,0.0013945431712363476,0.0011176845774459735,0.027047181125939592,0.005515131692273062,0.01604679813477441,0.03339751079370341,0.0013945431712363476,0.0011176845774459735,0.027047181125939592,0.005515131692273062,0.01604679813477441,0.03339751079370341,0.0013945431712363476,0.0011176845774459735,0.027047181125939592,0.005515131692273062,0.01604679813477441,0.03339751079370341,0.0013945431712363476,0.0011176845774459735
21,0.0277982251321959,0.00579372813635668,0.016857400881675137,0.033080312099710456,0.0014649884099551009,0.0022292180441361373,0.0277982251321959,0.00579372813635668,0.016857400881675137,0.033080312099710456,0.0014649884099551009,0.0022292180441361373,0.0277982251321959,0.00579372813635668,0.016857400881675137,0.033080312099710456,0.0014649884099551009,0.0022292180441361373,0.0277982251321959,0.00579372813635668,0.016857400881675137,0.033080312099710456,0.0014649884099551009,0.0022292180441361373,0.0277982251321959,0.00579372813635668,0.016857400881675137,0.033080312099710456,0.0014649884099551009,0.0022292180441361373,0.0277982251321959,0.00579372813635668,0.016857400881675137,0.033080312099710456,0.0014649884099551009,0.0022292180441361373
22,0.028460008896168742,0.0060718785776532344,0.017666705941214816,0.0330273540964526,0.001535320873462716,0.0033392590700390846,0.028460008896168742,0.0060718785776532344,0.017666705941214816,0.0330273540964526,0.001535320873462716,0.0033392590700390846,0.028460008896168742,0.0060718785776532344,0.017666705941214816,0.0330273540964526,0.001535320873462716,0.0033392590700390846,0.028460008896168742,0.0060718785776532344,0.017666705941214816,0.0330273540964526,0.001535320873462716,0.0033392590700390846,0.028460008896168742,0.0060718785776532344,0.017666705941214816,0.0330273540964526,0.001535320873462716,0.0033392590700390846,0.028460008896168742,0.0060718785776532344,0.017666705941214816,0.0330273540964526,0.001535320873462716,0.0033392590700390846
23,0.02907839439264361,0.006352637214397195,0.01848359979249617,0.03333704907372,0.001606312839109786,0.0044629137562376695,0.02907839439264361,0.006352637214397195,0.01848359979249617,0.03333704907372,0.001606312839109786,0.0044629137562376695,0.02907839439264361,0.006352637214397195,0.01848359979249617,0.03333704907372,0.001606312839109786,0.0044629137562376695,0.02907839439264361,0.006352637214397195,0.01848359979249617,0.03333704907372,0.001606312839109786,0.0044629137562376695,0.02907839439264361,0.006352637214397195,0.01848359979249617,0.03333704907372,0.001606312839109786,0.0044629137562376695,0.02907839439264361,0.006352637214397195,0.01848359979249617,0.03333704907372,0.001606312839109786,0.0044629137562376695
24,0.029673830517076956,0.0066420346782472325,0.019325629129642103,0.03436281628257467,0.001679489198171278,0.0056093504184098215,0.029673830517076956,0.0066420346782472325,0.019325629129642103,0.03436281628257467,0.001679489198171278,0.0056093504184098215,0.029673830517076956,0.0066420346782472325,0.019325629129642103,0.03436281628257467,0.001679489198171278,0.0056093504184098215,0.029673830517076956,0.0066420346782472325,0.019325629129642103,0.03436281628257467,0.001679489198171278,0.0056093504184098215,0.029673830517076956,0.0066420346782472325,0.019325629129642103,0.03436281628257467,0.001679489198171278,0.0056093504184098215,0.029673830517076956,0.0066420346782472325,0.019325629129642103,0.03436281628257467,0.001679489198171278,0.0056093504184098215
25,0.030251782475104915,0.006930668408276562,0.020165436310884348,0.0342721311583145,0.0017524724413030448,0.006755281347124472,0.030251782475104915,0.006930668408276562,0.020165436310884348,0.0342721311583145,0.0017524724413030448,0.006755281347124472,0.030251782475104915,0.006930668408276562,0.020165436310884348,0.0342721311583145,0.0017524724413030448,0.006755281347124472,0.030251782475104915,0.006930668408276562,0.020165436310884348,0.0342721311583145,0.0017524724413030448,0.006755281347124472,0.030251782475104915,0.006930668408276562,0.020165436310884348,0.0342721311583145,0.0017524724413030448,0.006755281347124472,0.030251782475104915,0.006930668408276562,0.020165436310884348,0.0342721311583145,0.0017524724413030448,0.006755281347124472
