,ssp119,ssp126,ssp434,ssp460,ssp534-over,ssp585
0,19.019783117809567,19.019783117809567,19.019783117809567,19.019783117809567,19.019783117809567,19.019783117809567
1,18.91510886993145,18.91510886993145,18.91510886993145,18.91510886993145,18.91510886993145,18.91510886993145
2,18.88971181188677,18.88971181188677,18.88971181188677,18.88971181188677,18.88971181188677,18.88971181188677
3,19.121377231171937,19.121377231171937,19.121377231171937,19.121377231171937,19.121377231171937,19.121377231171937
4,19.50906106501577,19.50906106501577,19.50906106501577,19.50906106501577,19.50906106501577,19.50906106501577
5,19.50045493331169,19.50045493331169,19.50045493331169,19.50045493331169,19.50045493331169,19.50045493331169
6,19.46253659981589,19.46253659981589,19.46253659981589,19.46253659981589,19.46253659981589,19.46253659981589
7,20.02354066414417,20.02354066414417,20.02354066414417,20.02354066414417,20.02354066414417,20.02354066414417
8,19.93400532918585,19.93400532918585,19.93400532918585,19.93400532918585,19.93400532918585,19.93400532918585
9,20.14146621388408,20.14146621388408,20.14146621388408,20.14146621388408,20.14146621388408,20.14146621388408
10,20.416797144500503,20.416797144500503,20.416797144500503,20.416797144500503,20.416797144500503,20.416797144500503
11,20.45599016898809,20.45599016898809,20.45599016898809,20.45599016898809,20.45599016898809,20.45599016898809
12,20.45168738197681,20.45168738197681,20.45168738197681,20.45168738197681,20.45168738197681,20.45168738197681
13,20.54517933681397,20.54517933681397,20.54517933681397,20.54517933681397,20.54517933681397,20.54517933681397
14,20.26091721016315,20.26091721016315,20.26091721016315,20.26091721016315,20.26091721016315,20.26091721016315
15,20.91915499807752,20.91915499807752,20.91915499807752,20.91915499807752,20.91915499807752,20.91915499807752
16,20.853591900632743,20.853591900632743,20.853591900632743,20.853591900632743,20.853591900632743,20.853591900632743
17,20.999179455660748,20.999179455660748,20.999179455660748,20.999179455660748,20.999179455660748,20.999179455660748
18,21.659452113517297,21.659452113517297,21.659452113517297,21.659452113517297,21.659452113517297,21.659452113517297
19,21.496335350339965,21.496335350339965,21.496335350339965,21.496335350339965,21.496335350339965,21.496335350339965
20,21.63439757224449,21.63439757224449,21.63439757224449,21.63439757224449,21.63439757224449,21.63439757224449
21,21.42892110132936,21.42892110132936,21.42892110132936,21.42892110132936,21.42892110132936,21.42892110132936
22,21.39461571539237,21.39461571539237,21.39461571539237,21.39461571539237,21.39461571539237,21.39461571539237
23,21.59523139318095,21.59523139318095,21.59523139318095,21.59523139318095,21.59523139318095,21.59523139318095
24,22.25970772945681,22.25970772945681,22.25970772945681,22.25970772945681,22.25970772945681,22.25970772945681
25,22.200963290559795,22.200963290559795,22.200963290559795,22.200963290559795,22.200963290559795,22.200963290559795
26,22.141942125209106,22.141942125209106,22.141942125209106,22.141942125209106,22.141942125209106,22.141942125209106
27,22.568710059808843,22.568710059808843,22.568710059808843,22.568710059808843,22.568710059808843,22.568710059808843
28,22.856080929571224,22.856080929571224,22.856080929571224,22.856080929571224,22.856080929571224,22.856080929571224
29,22.820635694370733,22.820635694370733,22.820635694370733,22.820635694370733,22.820635694370733,22.820635694370733
30,23.24616665378551,23.24616665378551,23.24616665378551,23.24616665378551,23.24616665378551,23.24616665378551
31,23.249655483903965,23.249655483903965,23.249655483903965,23.249655483903965,23.249655483903965,23.249655483903965
32,23.34175811891444,23.34175811891444,23.34175811891444,23.34175811891444,23.34175811891444,23.34175811891444
33,23.379916787266467,23.379916787266467,23.379916787266467,23.379916787266467,23.379916787266467,23.379916787266467
34,23.29404230240209,23.29404230240209,23.29404230240209,23.29404230240209,23.29404230240209,23.29404230240209
35,23.80210553725873,23.80210553725873,23.80210553725873,23.80210553725873,23.80210553725873,23.80210553725873
36,23.831994998220747,23.831994998220747,23.831994998220747,23.831994998220747,23.831994998220747,23.831994998220747
37,24.17652817967206,24.17652817967206,24.17652817967206,24.17652817967206,24.17652817967206,24.17652817967206
38,24.855928924260272,24.855928924260272,24.855928924260272,24.855928924260272,24.855928924260272,24.855928924260272
39,24.717072836600927,24.717072836600927,24.717072836600927,24.717072836600927,24.717072836600927,24.717072836600927
40,24.942208573783372,24.942208573783372,24.942208573783372,24.942208573783372,24.942208573783372,24.942208573783372
41,24.778432167331214,24.778432167331214,24.778432167331214,24.778432167331214,24.778432167331214,24.778432167331214
42,24.818892944319888,24.818892944319888,24.818892944319888,24.818892944319888,24.818892944319888,24.818892944319888
43,25.03153140920904,25.03153140920904,25.03153140920904,25.03153140920904,25.03153140920904,25.03153140920904
44,25.76753777758947,25.76753777758947,25.76753777758947,25.76753777758947,25.76753777758947,25.76753777758947
45,25.77334281488129,25.77334281488129,25.77334281488129,25.77334281488129,25.77334281488129,25.77334281488129
46,25.74058406529963,25.74058406529963,25.74058406529963,25.74058406529963,25.74058406529963,25.74058406529963
47,26.23006225836581,26.23006225836581,26.23006225836581,26.23006225836581,26.23006225836581,26.23006225836581
48,26.546440122432795,26.546440122432795,26.546440122432795,26.546440122432795,26.546440122432795,26.546440122432795
49,26.706488169365446,26.706488169365446,26.706488169365446,26.706488169365446,26.706488169365446,26.706488169365446
50,27.056343077702923,27.056343077702923,27.056343077702923,27.056343077702923,27.056343077702923,27.056343077702923
51,27.12488718150826,27.12488718150826,27.12488718150826,27.12488718150826,27.12488718150826,27.12488718150826
52,27.33978431554748,27.33978431554748,27.33978431554748,27.33978431554748,27.33978431554748,27.33978431554748
53,27.320499854247757,27.320499854247757,27.320499854247757,27.320499854247757,27.320499854247757,27.320499854247757
54,27.46474997353236,27.46474997353236,27.46474997353236,27.46474997353236,27.46474997353236,27.46474997353236
55,27.95079819780367,27.95079819780367,27.95079819780367,27.95079819780367,27.95079819780367,27.95079819780367
56,28.13437244680133,28.13437244680133,28.13437244680133,28.13437244680133,28.13437244680133,28.13437244680133
57,28.45865602722048,28.45865602722048,28.45865602722048,28.45865602722048,28.45865602722048,28.45865602722048
58,29.185241168144344,29.185241168144344,29.185241168144344,29.185241168144344,29.185241168144344,29.185241168144344
59,29.128658126909023,29.128658126909023,29.128658126909023,29.128658126909023,29.128658126909023,29.128658126909023
60,29.42453241885191,29.42453241885191,29.42453241885191,29.42453241885191,29.42453241885191,29.42453241885191
61,29.40578755819684,29.40578755819684,29.40578755819684,29.40578755819684,29.40578755819684,29.40578755819684
62,29.420298496849927,29.420298496849927,29.420298496849927,29.420298496849927,29.420298496849927,29.420298496849927
63,29.7784760297943,29.7784760297943,29.7784760297943,29.7784760297943,29.7784760297943,29.7784760297943
64,30.547851858136703,30.547851858136703,30.547851858136703,30.547851858136703,30.547851858136703,30.547851858136703
65,30.644339540877155,30.644339540877155,30.644339540877155,30.644339540877155,30.644339540877155,30.644339540877155
66,30.79985621905832,30.79985621905832,30.79985621905832,30.79985621905832,30.79985621905832,30.79985621905832
67,31.198395410103,31.198395410103,31.198395410103,31.198395410103,31.198395410103,31.198395410103
68,31.68760831940507,31.68760831940507,31.68760831940507,31.68760831940507,31.68760831940507,31.68760831940507
69,31.84544135012051,31.84544135012051,31.84544135012051,31.84544135012051,31.84544135012051,31.84544135012051
70,32.333394668843965,32.333394668843965,32.333394668843965,32.333394668843965,32.333394668843965,32.333394668843965
